-----------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations
-----------------------------------------------------------------------------------------
solve<GlobalSort>/2/2/real_time                      7633 ns         7563 ns        90959
solve<GlobalSort>/2/2/real_time                      7590 ns         7585 ns        90959
solve<GlobalSort>/2/2/real_time                      7477 ns         7495 ns        90959
solve<GlobalSort>/2/2/real_time_mean                 7567 ns         7548 ns            3
solve<GlobalSort>/2/2/real_time_median               7590 ns         7563 ns            3
solve<GlobalSort>/2/2/real_time_stddev               80.1 ns         46.8 ns            3
solve<GlobalSort>/2/2/real_time_cv                   1.06 %          0.62 %             3
solve<GlobalSort>/2/300/real_time                  894681 ns       894712 ns          782
solve<GlobalSort>/2/300/real_time                  895871 ns       895914 ns          782
solve<GlobalSort>/2/300/real_time                  896073 ns       896125 ns          782
solve<GlobalSort>/2/300/real_time_mean             895542 ns       895584 ns            3
solve<GlobalSort>/2/300/real_time_median           895871 ns       895914 ns            3
solve<GlobalSort>/2/300/real_time_stddev              752 ns          762 ns            3
solve<GlobalSort>/2/300/real_time_cv                 0.08 %          0.09 %             3
solve<GlobalSort>/17/300/real_time                1212376 ns      1212444 ns          579
solve<GlobalSort>/17/300/real_time                1213694 ns      1213770 ns          579
solve<GlobalSort>/17/300/real_time                1211598 ns      1211674 ns          579
solve<GlobalSort>/17/300/real_time_mean           1212556 ns      1212629 ns            3
solve<GlobalSort>/17/300/real_time_median         1212376 ns      1212444 ns            3
solve<GlobalSort>/17/300/real_time_stddev            1060 ns         1060 ns            3
solve<GlobalSort>/17/300/real_time_cv                0.09 %          0.09 %             3
solve<GlobalSort>/150/300/real_time               1088566 ns      1088667 ns          640
solve<GlobalSort>/150/300/real_time               1088371 ns      1088451 ns          640
solve<GlobalSort>/150/300/real_time               1091437 ns      1091536 ns          640
solve<GlobalSort>/150/300/real_time_mean          1089458 ns      1089552 ns            3
solve<GlobalSort>/150/300/real_time_median        1088566 ns      1088667 ns            3
solve<GlobalSort>/150/300/real_time_stddev           1717 ns         1722 ns            3
solve<GlobalSort>/150/300/real_time_cv               0.16 %          0.16 %             3
solve<GlobalSort>/300/300/real_time               1202051 ns      1202153 ns          583
solve<GlobalSort>/300/300/real_time               1201740 ns      1201858 ns          583
solve<GlobalSort>/300/300/real_time               1201403 ns      1201444 ns          583
solve<GlobalSort>/300/300/real_time_mean          1201731 ns      1201818 ns            3
solve<GlobalSort>/300/300/real_time_median        1201740 ns      1201858 ns            3
solve<GlobalSort>/300/300/real_time_stddev            324 ns          356 ns            3
solve<GlobalSort>/300/300/real_time_cv               0.03 %          0.03 %             3
solve<GlobalSort>/2/17576/real_time              74677630 ns     74678173 ns            9
solve<GlobalSort>/2/17576/real_time              75465957 ns     75465921 ns            9
solve<GlobalSort>/2/17576/real_time              75195905 ns     75194179 ns            9
solve<GlobalSort>/2/17576/real_time_mean         75113164 ns     75112758 ns            3
solve<GlobalSort>/2/17576/real_time_median       75195905 ns     75194179 ns            3
solve<GlobalSort>/2/17576/real_time_stddev         400623 ns       400136 ns            3
solve<GlobalSort>/2/17576/real_time_cv               0.53 %          0.53 %             3
solve<GlobalSort>/132/17576/real_time            83635885 ns     83636708 ns            8
solve<GlobalSort>/132/17576/real_time            84501190 ns     84501832 ns            8
